保险业 J68
仓储业 G59
畜牧业 A03
餐饮业 H62
电力、热力生产和供应业 D44
道路运输业 G54
电气机械和器材制造业 C38
电信、广播电视和卫星传输服务 I63
房地产业 K70
非金属矿物制品业 C30
废弃资源综合利用业 C42
房屋建筑业 E47
纺织服装、服饰业 C18
纺织业 C17
广播、电视、电影和影视录音制作业 R86
管道运输业 G57
公共设施管理业 N78
货币金融服务 J66
航空运输业 G56
互联网和相关服务 I64
黑色金属矿采选业 B08
黑色金属冶炼和压延加工业 C31
化学纤维制造业 C28
化学原料和化学制品制造业 C26
家具制造业 C21
计算机、通信和其他电子设备制造业 C39
金属制品业 C33
教育 P82
酒、饮料和精制茶制造业 C15
建筑安装业 E49
建筑装饰和其他建筑业 E50
开采辅助活动 B11
零售业 F52
林业 A02
木材加工和木、竹、藤、棕、草制品业 C20
煤炭开采和洗选业 B06
农副食品加工业 C13
农、林、牧、渔服务业 A05
农业 A01
批发业 F51
皮革、毛皮、羽毛及其制品和制鞋业 C19
汽车制造业 C36
其他金融业 J69
其他制造业 C41
软件和信息技术服务业 I65
燃气生产和供应业 D45
水的生产和供应业 D46
食品制造业 C14
水上运输业 G55
生态保护和环境治理业 N77
商务服务业 L72
石油和天然气开采业 B07
石油加工、炼焦和核燃料加工业 C25
铁路、船舶、航空航天和其他运输设备制造业 C37
铁路运输业 G53
土木工程建筑业 E48
通用设备制造业 C34
文化艺术业 R87
文教、工美、体育和娱乐用品制造业 C24
卫生 Q83
橡胶和塑料制品业 C29
新闻和出版业 R85
研究和试验发展 M73
仪器仪表制造业 C40
印刷和记录媒介复制业 C23
有色金属矿采选业 B09
有色金属冶炼和压延加工业 C32
渔业 A04
医药制造业 C27
资本市场服务 J67
综合 S90
租赁业 L71
住宿业 H61
装卸搬运和运输代理业 G58
专业技术服务业 M74
专用设备制造业 C35
造纸和纸制品业 C22
